バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
1st&substream,22DUNK,TECHNO,SLAKE,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,deep in you,DANCE POP,dj nagureo,0,3,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,---,ASSIST CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,2,2,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,10,951,348,255,94,EASY CLEAR,B,2017-08-14 22:51
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0,2,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Dancin' Into The Night,DISCO,good-cool,0,2,0,0,0,---,ASSIST CLEAR,---,3,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,---,FAILED,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,4,0,0,0,---,FAILED,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,7,5,0,0,0,---,NO PLAY,---,8,999,439,121,5,EX HARD CLEAR,AA,11,1228,516,196,62,EASY CLEAR,A,2017-09-19 22:20
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,1,0,0,0,---,FAILED,---,2,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,49,7,0,0,0,---,ASSIST CLEAR,---,10,1169,459,251,77,EASY CLEAR,B,0,0,0,0,---,NO PLAY,---,2017-09-18 21:01
4th style,B4U,SPEED RAVE,NAOKI,8,5,0,0,0,---,HARD CLEAR,---,9,960,365,230,41,EASY CLEAR,B,10,1327,491,345,40,HARD CLEAR,B,2017-10-05 20:11
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,3,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,894,351,192,71,ASSIST CLEAR,B,2017-10-21 19:05
4th style,empathy,DRUM'N'BASS,TaQ,0,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,FLOWERS for ALBION,AMBIENT,dj TAKA,0,2,0,0,0,---,CLEAR,---,5,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,HIGHER,DANCE POP,NM feat. Sunny,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,Hitch Hiker2,WARP HOUSE,good-cool,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
4th style,minimalian,MINIMAL,DETROIAN,0,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,Nasty!,DANCE POP,Baby Weapon feat.Asuka M,0,3,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FAILED,---,2016-10-26 17:45
5th style,Abyss,INTELLIGENCE,dj TAKA,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,2016-10-26 17:45
5th style,QQQ,TECHNO,TaQ,1,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1563,579,405,36,EASY CLEAR,A,2017-06-10 19:55
5th style,V,PROGRESSIVE,TAKA,6,5,0,0,0,---,HARD CLEAR,---,10,1878,762,354,52,CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-10-18 20:47
6th style,Colors (radio edit),TRANCE,dj TAKA,0,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,12,0,0,0,---,NO PLAY,---,2016-10-26 17:45
6th style,fly through the night,TRANCE,Mr.T,0,4,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
6th style,SOMETHING WONDERFUL,EPIC TRANCE,L.E.D.,2,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,1163,445,273,57,EASY CLEAR,B,2017-08-20 20:02
7th style,A,RENAISSANCE,D.J.Amuro,4,6,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1639,691,257,107,ASSIST CLEAR,B,2017-10-17 00:03
7th style,Burning Heat! (Full Option Mix),12 BEAT,Mr.T with Motoaki.F,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
7th style,Cheer Train,BIG BEAT,Fuzita Blender,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
7th style,ZERO-ONE,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,airflow,INSTRUMENTAL,Mr.T,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,Attitude,TRANCE,Y&Co.,0,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,FAILED,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,bit mania,テクノ歌謡,AKIRA YAMAOKA,0,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
8th style,Colors -Y&Co. Eurobeat Remix-,EUROBEAT,dj TAKA (remixed by 横田商会),3,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,10,1450,579,292,32,EASY CLEAR,B,2017-09-24 19:09
8th style,Halfway of promise,GIRL ROCK,Yu Takami feat. Shihori Nakane,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,Monkey Dance,EUROBEAT,Y&Co.,0,4,0,0,0,---,CLEAR,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
8th style,rainbow flyer,TRANCE,dj TAKA,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1042,368,306,119,FAILED,C,2017-02-05 13:17
8th style,World Wide Love,POPS,MTO,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,xenon,ELECTROSHOCK,Mr.T,0,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
8th style,桜,SPIRITUAL,Reven-G,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1115,424,267,217,FAILED,C,2017-08-07 21:37
9th style,Abyss -The Heavens Remix-,TRANCE CORE,dj TAKA Remixed by Ryu☆,3,7,0,0,0,---,NO PLAY,---,10,1407,549,309,18,HARD CLEAR,A,10,0,0,0,---,NO PLAY,---,2017-09-11 23:47
9th style,BAD BOY BASS!! (dj Remo-con MIX),NRG,Y&Co.,0,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,BRIGHTNESS DARKNESS,ROCOCO TEK,SPARKER,0,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,e-motion 2003 -romantic extra-,TRANCE,e.o.s. Remixed by dj TAKA,1,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1119,419,281,48,CLEAR,B,2017-08-20 19:15
9th style,Golden Horn,TURKISH PIANO'N'BASS,Osamu Kubota,0,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,HYPER EUROBEAT (2DX style),EUROBEAT,NAOKI feat.PAULA TERRY,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,I Was The One (80's EUROBEAT STYLE),EUROBEAT,good-cool Remixed by NAOKI,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
9th style,Make A Difference,GOSPEL,Lala Moore with CoCoRo*Co,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,moon_child,POST ROCK,少年ラジオ,9,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1671,608,455,104,ASSIST CLEAR,B,2017-11-27 22:38
9th style,one or eight,HARDCORE RAVE,sampling masters AYA,1,7,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1460,490,480,115,ASSIST CLEAR,B,2017-07-30 16:59
9th style,quasar,TRANCE,OutPhase,59,6,0,0,0,---,NO PLAY,---,9,1237,435,367,42,HARD CLEAR,A,11,1581,576,429,41,HARD CLEAR,A,2017-10-27 23:49
9th style,Quickening,PSYCHEDELIC,dj TAKA,16,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1291,504,283,93,NO PLAY,B,2017-02-21 13:29
9th style,Really Love,R&B,大部真由美,1,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,10,1122,394,334,61,EASY CLEAR,B,2017-04-20 15:44
9th style,RISLIM -Remix-,ELECTRO 2 STEP,ric Remixed by Hisashi Nawata,0,4,0,0,0,---,FAILED,---,6,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,rottel-the-Mercury,GABBA,sampling masters MEGA,0,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,SNOW,DRUM'N'BASS,RAM,2,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1282,495,292,90,EASY CLEAR,B,2017-07-30 13:59
9th style,STAR FIELD,TRANCE,SADA,0,3,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,Sweet Sweet Magic,HAPPY HARDCORE,jun,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,FAILED,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
9th style,ライオン好き,ボデー,AKIRA YAMAOKA,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,ALIEN TEMPLE,PSYCHEDELIC TRANCE,PINK PONG,0,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,ASTRAL VOYAGE,DREAM TECHNO,EeL,0,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,Back Into The Light,2STEP POP TRANCE,Sota Fujimori,2,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1489,594,301,28,HARD CLEAR,A,2017-12-02 12:37
10th style,CARRY ON NIGHT (English version),EUROBEAT,platoniX (EURO style),0,5,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
10th style,Debtty Daddy,ETHNO HARDCORE,sampling masters AYA,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,desolation,PIANO BALLADE,Mr.T,0,2,0,0,0,---,ASSIST CLEAR,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,DoLL,HYPER J-POP FOUR,ＴЁЯＲＡ,1,5,0,0,0,---,ASSIST CLEAR,---,6,0,0,0,---,HARD CLEAR,---,7,1275,551,173,26,HARD CLEAR,AA,2017-08-31 21:53
10th style,EXE,ELECTROSHOCK,Mr.T,1,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,1426,526,374,36,HARD CLEAR,B,2017-11-30 22:13
10th style,Feedback,BREAK BEATS,Audio Highs,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,EASY CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,FEEL IT,DRUM'N'BASS,RAM,1,5,0,0,0,---,NO PLAY,---,9,1088,434,220,93,ASSIST CLEAR,B,10,0,0,0,---,NO PLAY,---,2016-12-18 15:15
10th style,Freezing atmosphere,NATURAL SOUND,Twin AmadeuS,0,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,FAILED,---,2016-10-26 17:45
10th style,GRADIUS -FULL SPEED-,GAME MUSIC,Mr.T,0,4,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,Innocent Walls,TECHNO,TaQ,1,8,0,0,0,---,FAILED,---,12,0,0,0,---,NO PLAY,---,12,1752,583,586,112,NO PLAY,B,2017-09-25 18:58
10th style,Love Is Eternity,TRANCE,kors k,3,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1451,555,341,55,CLEAR,B,2017-11-09 22:01
10th style,No.13,PROGRESSIVE BAROQUE,TAKA respect for J.S.B.,10,8,0,0,0,---,ASSIST CLEAR,---,10,1684,651,382,78,EASY CLEAR,B,11,1812,684,444,141,EASY CLEAR,B,2017-11-09 22:28
10th style,rainbow rainbow,HAPPY HARDCORE,Ryu☆,0,7,0,0,0,---,FAILED,---,10,0,0,0,---,NO PLAY,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
10th style,Rise'n Beauty,TRANCE,Sota feat. Cyborg Akemi,2,6,0,0,0,---,NO PLAY,---,9,1037,408,221,51,NO PLAY,B,10,0,0,0,---,NO PLAY,---,2017-04-21 21:04
10th style,雪月花,HARD HOUSE,Ryu☆,10,6,0,0,0,---,NO PLAY,---,10,996,371,254,99,EASY CLEAR,C,12,1490,558,374,114,EASY CLEAR,B,2017-11-27 22:29
IIDX RED,AA,RENAISSANCE,D.J.Amuro,6,5,0,0,0,---,CLEAR,---,10,1508,559,390,97,EASY CLEAR,C,12,0,0,0,---,NO PLAY,---,2017-07-21 19:22
IIDX RED,AGEHA,HAPPY HARDCORE,Ryu☆,1,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,9,1418,587,244,21,HARD CLEAR,A,2017-09-19 22:23
IIDX RED,Be quiet,HARD DANCE,Ryu☆,2,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1330,506,318,83,EASY CLEAR,B,2017-10-21 23:26
IIDX RED,BREATH,ROCOCO TEK,SPARKER,2,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1232,524,184,42,EASY CLEAR,A,2017-07-30 16:43
IIDX RED,D.A.N.C.E.!,J-POP,DJ Yoshitaka feat.星野奏子,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,earth scape,PIANO BALLAD,dj TAKA,0,2,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,GENOCIDE,DRUM'N'BASS,dj Killer,2,6,0,0,0,---,ASSIST CLEAR,---,10,1295,488,319,84,EASY CLEAR,B,11,0,0,0,---,NO PLAY,---,2017-08-09 20:31
IIDX RED,gigadelic,NUSTYLE GABBA,teranoid feat.MC Natsack,18,9,0,0,0,---,ASSIST CLEAR,---,12,1352,518,316,74,EASY CLEAR,B,12,1512,555,402,107,FAILED,B,2017-11-28 21:58
IIDX RED,HORIZON,HAPPY HARDCORE,LIA,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,2016-10-26 17:45
IIDX RED,KEY,BEAT ROCK,colors,2,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1992,811,370,120,EASY CLEAR,A,2017-10-23 21:21
IIDX RED,RED ZONE,SPEED RAVE,Tatsh&NAOKI,27,5,0,0,0,---,CLEAR,---,9,1126,430,266,99,EASY CLEAR,B,11,1541,603,335,63,CLEAR,B,2017-11-25 22:14
IIDX RED,RESONATE 1794,HARD SONATA,KOHTA,1,5,0,0,0,---,NO PLAY,---,10,950,383,184,78,EASY CLEAR,B,11,0,0,0,---,NO PLAY,---,2017-05-09 20:49
IIDX RED,Secret of Love,DRUM'N'BASS,D.J.SWAN,0,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FAILED,---,11,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,SPEEDY CAT,EUROBEAT,Y&Co.,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,FAILED,---,2016-10-26 17:45
IIDX RED,Sphere,MEDIEVAL CHOIR,Tatsh feat. K.Nayuki,0,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,EASY CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,The Hope of Tomorrow,CYBORG TRANCE,Sota Fujimori,0,5,0,0,0,---,HARD CLEAR,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,ピアノ協奏曲第１番”蠍火”,DIRGE,virkato,20,5,0,0,0,---,NO PLAY,---,11,1587,586,415,57,CLEAR,A,12,0,0,0,---,NO PLAY,---,2017-11-28 21:51
IIDX RED,大桟橋,JAPAN,ウッチーズ,0,3,0,0,0,---,ASSIST CLEAR,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,太陽～T・A・I・Y・O～,CYBER J-EURO,NAOKI feat.星野奏子,0,4,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,2016-10-26 17:45
IIDX RED,ＵＬＴｉＭΛＴＥ,HYPER J-POP FIVE,ＴЁЯＲＡ,0,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,EASY CLEAR,---,2016-10-26 17:45
HAPPY SKY,alla turca con passione,NATURAL SOUND,Twin AmadeuS,2,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,10,1497,595,307,56,EASY CLEAR,A,2017-08-14 22:20
HAPPY SKY,Aurora,TRANCE CORE,Ryu☆,9,7,0,0,0,---,EASY CLEAR,---,10,0,0,0,---,NO PLAY,---,11,1659,653,353,79,CLEAR,B,2017-11-14 14:09
HAPPY SKY,CaptivAte～浄化～,NOSTALISH REQUIEM,A/I,5,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,ASSIST CLEAR,---,11,1590,618,354,86,CLEAR,B,2017-09-10 22:34
HAPPY SKY,Catch Me,ACID JAZZ,DJ Yoshitaka feat. ERi,0,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
HAPPY SKY,EDEN,HYPER J-POP SIX,ＴЁЯＲＡ,9,6,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,CLEAR,---,10,2169,931,307,40,HARD CLEAR,AA,2017-11-14 14:03
HAPPY SKY,EMPTY OF THE SKY,E-ROCK,AKIRA YAMAOKA,0,3,0,0,0,---,ASSIST CLEAR,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,2016-10-26 17:45
HAPPY SKY,garden,SWING WALTZ,青野りえ,0,4,0,0,0,---,NO PLAY,---,7,0,0,0,---,EASY CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
HAPPY SKY,HAPPY☆ANGEL,HAPPY HARDCORE,jun with TAHIRIH,3,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1536,635,266,48,HARD CLEAR,A,2017-11-22 21:55
HAPPY SKY,Little Little Princess,PUNK OPERA,SHRINE 418,3,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,11,2021,788,445,91,CLEAR,A,2017-10-30 20:01
HAPPY SKY,SCREAM SQUAD,BREAKCORE,CALF,11,7,0,0,0,---,EASY CLEAR,---,10,1203,479,245,43,EASY CLEAR,A,12,1314,522,270,106,ASSIST CLEAR,B,2017-10-23 21:01
HAPPY SKY,SigSig,MAKINA,kors k,2,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,CLEAR,---,10,1719,658,403,144,EASY CLEAR,B,2017-08-16 20:16
HAPPY SKY,Tizona d'El Cid,MPB,TOMOSUKE,2,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1640,644,352,35,HARD CLEAR,A,2017-11-29 19:32
HAPPY SKY,Twelfth Style,HAPPY EURO PARADISE,Tatsh&DAYBREAKERS NEXT,67,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1272,487,298,63,EASY CLEAR,B,2017-06-14 23:15
HAPPY SKY,vault of heaven,ELECTROSHOCK,Mr.T,0,4,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
HAPPY SKY,Xepher,MEDIEVAL CHOIR,Tatsh,2,5,0,0,0,---,ASSIST CLEAR,---,10,1310,505,300,89,EASY CLEAR,B,11,0,0,0,---,NO PLAY,---,2017-08-11 18:27
HAPPY SKY,ヒマワリ,J-HAPPY HARDCORE,小坂りゆ,0,3,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
HAPPY SKY,冥,HUMAN SEQUENCER,Amuro vs Killer,1,5,0,0,0,---,HARD CLEAR,---,10,1310,514,282,66,EASY CLEAR,B,12,0,0,0,---,NO PLAY,---,2017-07-15 17:31
HAPPY SKY,月光,J-EUROBEAT,Tatsh feat. 星野奏子,0,5,0,0,0,---,ASSIST CLEAR,---,8,0,0,0,---,ASSIST CLEAR,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
DistorteD,ALFARSHEAR 双神威に廻る夢,HYPER J-POP SEVEN,ＴЁЯＲＡ,7,5,0,0,0,---,ASSIST CLEAR,---,7,0,0,0,---,CLEAR,---,10,1594,683,228,38,HARD CLEAR,A,2017-11-12 11:11
DistorteD,Apocalypse ～dirge of swans～,ORATORIO,Zektbach,8,5,0,0,0,---,ASSIST CLEAR,---,9,1177,456,265,60,CLEAR,B,10,1574,642,290,96,EASY CLEAR,B,2017-08-09 20:09
DistorteD,Bloody Tears(IIDX EDITION),HARD RENAISSANCE,DJ YOSHITAKA,1,5,0,0,0,---,ASSIST CLEAR,---,9,0,0,0,---,ASSIST CLEAR,---,10,1690,707,276,31,HARD CLEAR,A,2017-11-28 22:46
DistorteD,BOOM BOOM DISCO NIGHT,EUROBEAT,Y&Co.,0,5,0,0,0,---,CLEAR,---,8,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,2016-10-26 17:45
DistorteD,Concertino in Blue,PROGRESSIVE,佐々木博史,2,5,0,0,0,---,NO PLAY,---,10,0,0,0,---,NO PLAY,---,12,1460,457,546,144,NO PLAY,B,2017-09-25 18:56
DistorteD,CONTRACT,SUBLIME TECHNO,朱雀,1,9,0,0,0,---,ASSIST CLEAR,---,10,1151,455,241,33,EASY CLEAR,A,11,0,0,0,---,NO PLAY,---,2017-08-11 18:29
DistorteD,D.C.fish,TECHNO,DJ MURASAME,3,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,1612,645,322,75,EASY CLEAR,A,2017-11-27 22:09
